,Date,Max Operation Demand (MW),Max Temp,Min Temp,Max Hum,Min Hum,Av Wind,Solar Rad
53,2009-02-23,2912.222,34.3,17.2,63,26,5.66,26.67
54,2009-02-24,2430.504,25.4,18.4,89,52,4.24,21.44
55,2009-02-25,2201.964,23.5,12.9,93,52,4.70,14.56
56,2009-02-26,2120.948,23.9,8.3,99,38,4.06,24.25
57,2009-02-27,2240.79,30.2,13.7,77,24,5.29,27.03
58,2009-02-28,2449.598,36.1,15.4,83,21,5.94,24.30
59,2009-03-01,2398.054,32.9,22.4,84,44,6.06,20.53
60,2009-03-02,1818.424,24.7,18.4,86,34,9.01,23.73
61,2009-03-03,2133.204,26.2,6.1,88,20,4.76,27.22
62,2009-03-04,2321.074,30.4,13.6,57,16,7.17,27.96
63,2009-03-05,2572.322,34.3,17.0,67,12,5.03,27.37
64,2009-03-06,2667.156,34.5,15.2,73,12,5.11,27.69
65,2009-03-07,2240.586,31.6,17.1,64,21,7.72,27.28
66,2009-03-08,2314.436,35.0,17.2,61,15,5.6,26.30
67,2009-03-09,2863.784,35.3,15.0,66,12,3.92,26.75
68,2009-03-10,3063.684,38.3,14.9,68,10,3.87,26.55
69,2009-03-11,2527.604,30.8,12.7,74,26,4.45,20.84
70,2009-03-12,2346.222,27.1,18.6,82,46,4.47,18.36
71,2009-03-13,2226.614,28.3,14.2,70,27,5.17,25.55
72,2009-03-14,2083.308,31.1,13.9,57,19,6.61,24.74
73,2009-03-15,2681.052,39.7,16.5,54,12,6.98,21.68
74,2009-03-16,2902.946,32.2,15.9,81,29,3.76,25.02
75,2009-03-17,2373.948,25.6,16.2,94,52,4.8,15.81
76,2009-03-18,2214.274,24.2,12.6,96,37,4.68,23.16
77,2009-03-19,2210.628,25.9,8.5,91,33,3.45,24.40
78,2009-03-20,2149.634,24.8,11.8,92,40,4.56, 
79,2009-03-21,1838.172,24.0,10.9,97,34,3.3, 
80,2009-03-22,1914.302,24.1,6.4,97,37,2.97, 
81,2009-03-23,2204.472,24.2,11.9,95,57,3.51,19.15
82,2009-03-24,2218.102,25.0,12.0,97,39,3.29,21.88
83,2009-03-25,2223.734,26.0,12.4,97,41,3.51,23.06
84,2009-03-26,2497.45,32.5,14.6,90,26,6.25,23.35
85,2009-03-27,2721.042,37.5,14.2,91,14,3.43, 
86,2009-03-28,2003.424,29.4,16.0,90,33,6.53, 
87,2009-03-29,1992.932,26.0,17.2,70,34,6.8, 
88,2009-03-30,2243.752,26.1,17.4,77,45,5.53,19.34
89,2009-03-31,2198.756,25.8,13.0,96,31,5.33,19.23
90,2009-04-01,2158.384,24.4,11.4,80,26,4.96,22.06
91,2009-04-02,2228.428,26.2,9.4,80,25,4.4,22.6
92,2009-04-03,2154.144,28.1,13.8,71,23,6.51,20.5
93,2009-04-04,2072.616,29.2,14.6,60,19,5.99,22.3
94,2009-04-05,2087.326,27.9,13.9,72,22,6.55,22.2
95,2009-04-06,2294.836,29.2,14.7,64,17,6.36,22.32
96,2009-04-07,2439.914,31.6,17.2,52,16,4.54,22.04
97,2009-04-08,2544.262,33.6,17.4,55,11,4.44,20.64
98,2009-04-09,2504.81,34.0,14.6,51,11,3.71,20.96
99,2009-04-10,2150.89,35.5,17.2,65,9,6.15,20.87
100,2009-04-11,2110.354,31.1,14.1,95,26,3.0,19.48
101,2009-04-12,2113.608,34.2,15.6,87,4,8.98,20.46
102,2009-04-13,1993.714,24.6,20.8,94,37,7.73,7.2
103,2009-04-14,2260.412,28.2,15.3,89,36,4.21,18.67
104,2009-04-15,2202.092,26.9,14.3,66,28,4.4,18.93
105,2009-04-16,2236.306,28.6,13.8,78,34,4.11,19.3
106,2009-04-17,2230.966,29.9,13.6,88,34,3.77,17.62
107,2009-04-18,2045.328,25.6,16.2,77,38,4.01,10.67
108,2009-04-19,2099.954,30.0,17.0,94,35,3.63,19.02
109,2009-04-20,2303.576,27.9,13.3,99,43,2.77,19.01
110,2009-04-21,2353.74,30.6,13.9,96,32,4.06,18.79
111,2009-04-22,2194.702,22.1,12.1,97,32,6.28,14.12
112,2009-04-23,2228.67,21.5,3.7,90,37,3.63,15.83
113,2009-04-24,2169.624,23.2,9.2,96,52,3.37,14.52
114,2009-04-25,1979.788,23.1,11.8,97,49,3.04,14.48
115,2009-04-26,1951.324,26.3,7.5,99,37,2.5,17.78
116,2009-04-27,2105.292,28.9,11.9,92,24,3.39,17.89
117,2009-04-28,2308.44,28.5,11.4,92,31,4.16,18.25
118,2009-04-29,2279.858,26.5,16.4,89,26,5.19,14.45
119,2009-04-30,2292.724,24.5,9.3,93,35,3.9,17.73
120,2009-05-01,2180.844,25.2,10.8,69,28,6.52,17.85
121,2009-05-02,2068.758,28.5,13.1,79,23,4.53,17.78
122,2009-05-03,2077.234,27.4,10.0,83,19,3.27,16.25
123,2009-05-04,2249.448,28.0,11.4,60,16,3.4,17.49
124,2009-05-05,2235.424,27.9,9.9,63,17,4.19,17.35
125,2009-05-06,2230.488,27.3,11.9,51,20,5.1,17.29
126,2009-05-07,2237.298,26.0,12.7,63,22,3.96,17.01
127,2009-05-08,2132.91,25.5,10.0,71,22,3.77,16.74
128,2009-05-09,1996.738,25.8,12.3,70,21,3.79,16.65
129,2009-05-10,2036.178,23.6,9.3,79,25,2.49,11.68
130,2009-05-11,2267.86,26.4,11.9,80,22,3.32,16.21
131,2009-05-12,2256.48,24.6,14.2,72,29,7.41,16.25
132,2009-05-13,2270.226,24.9,12.2,92,27,4.58,15.64
133,2009-05-14,2284.228,24.6,9.4,84,25,3.73,16.1
134,2009-05-15,2190.814,25.6,8.4,76,21,3.0,16.07
135,2009-05-16,2087.186,25.5,7.0,77,21,3.04,15.89
136,2009-05-17,2078.462,26.5,8.3,70,18,3.94,15.58
137,2009-05-18,2328.494,23.2,6.0,92,44,2.89,15.23
138,2009-05-19,2335.15,24.4,9.2,97,51,3.13,13.59
139,2009-05-20,2296.404,27.2,12.6,96,30,4.1,13.41
140,2009-05-21,2294.504,23.2,14.8,96,53,7.93,8.75
141,2009-05-22,2486.572,17.2,9.8,84,47,8.0,10.87
142,2009-05-23,2346.934,16.6,11.0,97,46,4.88,11.65
143,2009-05-24,2307.422,19.2,3.1,99,44,2.23,14.71
144,2009-05-25,2614.112,19.0,6.2,88,37,4.05,13.83
145,2009-05-26,2472.088,22.3,9.6,73,27,6.35,14.6
146,2009-05-27,2475.146,22.1,12.5,55,32,6.26,12.82
147,2009-05-28,2403.404,23.2,13.0,61,30,6.27,14.16
148,2009-05-29,2255.484,23.8,12.4,62,30,5.99,14.16
149,2009-05-30,2109.558,25.2,13.7,79,37,5.11,12.93
150,2009-05-31,2074.8,24.3,13.6,79,42,2.98,12.24
151,2009-06-01,2172.762,25.3,13.9,97,37,3.89,13.12
152,2009-06-02,2348.264,22.9,12.2,99,52,3.52,11.47
153,2009-06-03,2511.004,20.3,9.4,99,60,3.7,11.86
154,2009-06-04,2582.868,18.2,7.3,92,50,3.98,10.87
155,2009-06-05,2422.56,19.9,4.7,99,51,2.77,12.38
156,2009-06-06,2304.358,20.3,7.2,99,43,2.5,12.75
157,2009-06-07,2394.344,17.7,4.2,99,46,2.55,13.47
158,2009-06-08,2588.488,21.0,6.5,91,40,2.83,13.62
159,2009-06-09,2558.128,23.3,8.5,86,22,4.25,13.19
160,2009-06-10,2419.206,22.2,12.3,94,48,4.6,12.26
161,2009-06-11,2623.882,16.8,12.2,98,76,3.08,6.95
162,2009-06-12,2629.834,16.6,4.2,99,53,2.2,12.18
163,2009-06-13,2467.64,17.6,4.8,97,48,2.31,12.41
164,2009-06-14,2458.24,20.2,3.3,98,47,2.58,13.29
165,2009-06-15,2537.408,21.4,7.4,97,39,2.86,13.07
166,2009-06-16,2559.882,21.1,4.7,98,30,3.13,13.43
167,2009-06-17,2528.356,21.4,5.7,85,25,4.6,13.42
168,2009-06-18,2540.686,20.1,10.2,97,64,4.09,8.72
169,2009-06-19,2579.692,17.0,13.2,97,43,6.99,8.57
170,2009-06-20,2434.53,18.6,10.5,96,54,5.82,11.49
171,2009-06-21,2516.67,15.6,10.5,94,46,4.38,11.88
172,2009-06-22,2792.724,16.6,4.0,95,46,3.64,11.83
173,2009-06-23,2902.404,14.8,9.2,98,52,5.15,5.31
174,2009-06-24,2793.73,17.6,8.9,97,77,4.7,8.02
175,2009-06-25,2542.146,20.1,12.1,96,56,4.9,11.93
176,2009-06-26,2602.788,16.5,9.5,97,72,4.75,5.69
177,2009-06-27,2415.864,18.3,13.0,87,48,8.16,10.85
178,2009-06-28,2385.466,19.3,13.1,91,53,7.45,10.52
179,2009-06-29,2872.028,16.2,13.7,84,51,9.78,8.28
180,2009-06-30,2784.818,15.1,9.1,96,55,5.41,11.15
181,2009-07-01,2669.874,17.7,8.9,99,52,3.34,12.61
182,2009-07-02,2729.028,17.6,2.3,99,47,2.37,13.26
183,2009-07-03,2608.794,17.8,5.3,95,50,4.3,11.38
184,2009-07-04,2386.212,18.4,10.1,95,52,2.78,10.52
185,2009-07-05,2306.638,21.1,8.5,88,45,3.59,13.20
186,2009-07-06,2557.886,19.3,12.1,97,58,5.33, 
187,2009-07-07,2571.75,17.7,7.9,97,55,3.06, 
188,2009-07-08,2585.18,19.1,10.9,97,42,4.12, 
189,2009-07-09,2496.04,19.0,11.8,97,50,4.58,10.70
190,2009-07-10,2497.444,17.8,10.8,98,51,4.74,11.02
191,2009-07-11,2350.406,17.7,7.2,97,44,2.33,13.12
192,2009-07-12,2405.3,16.9,3.9,99,40,2.67,13.64
193,2009-07-13,2658.428,17.3,2.0,99,47,2.95,13.74
194,2009-07-14,2712.23,17.4,3.3,97,47,3.83,13.99
195,2009-07-15,2533.996,21.2,7.1,97,25,6.27,13.81
196,2009-07-16,2761.382,17.3,12.3,98,51,6.22,10.06
197,2009-07-17,2503.544,18.4,12.9,87,48,5.55,11.15
198,2009-07-18,2326.968,19.4,11.4,97,48,5.81,10.59
199,2009-07-19,2463.128,16.6,10.8,97,56,4.74,10.36
200,2009-07-20,2937.086,14.6,8.3,93,49,7.8,10.19
201,2009-07-21,2685.924,15.7,8.5,97,55,5.63,12.56
202,2009-07-22,2730.014,17.2,6.7,99,65,4.3,10.71
203,2009-07-23,2680.544,16.9,11.0,100,54,3.69,12.37
204,2009-07-24,2647.84,16.3,3.9,97,38,3.13,14.62
205,2009-07-25,2537.456,15.6,5.2,95,38,4.28,14.16
206,2009-07-26,2596.254,15.7,2.0,99,42,2.71,12.50
207,2009-07-27,2791.028,16.0,4.5,97,55,2.41,11.65
208,2009-07-28,2716.068,17.8,3.6,100,47,2.32,14.47
209,2009-07-29,2709.46,20.0,5.7,99,32,3.33,15.04
210,2009-07-30,2604.598,21.8,5.4,99,30,2.82,15.33
211,2009-07-31,2456.916,21.6,7.0,95,30,2.61,15.57
212,2009-08-01,2337.94,20.3,2.6,99,37,1.96,15.69
213,2009-08-02,2378.118,20.9,3.5,99,41,2.55,14.92
214,2009-08-03,2558.414,21.5,3.8,98,44,1.95,15.67
215,2009-08-04,2558.228,21.1,3.8,99,41,1.91,15.8
216,2009-08-05,2339.952,20.9,6.6,96,50,4.8,12.59
217,2009-08-06,2453.218,19.5,13.0,99,49,4.1,14.38
218,2009-08-07,2361.304,20.2,5.6,99,48,1.91,15.22
219,2009-08-08,2212.6,21.7,12.8,98,69,2.98,11.03
220,2009-08-09,2238.152,21.0,11.9,97,57,3.85,14.54
221,2009-08-10,2499.086,20.8,14.1,96,55,5.83,10.96
222,2009-08-11,2551.494,17.5,10.6,94,49,3.26,10.79
223,2009-08-12,2519.166,18.9,11.7,97,45,4.83,12.95
224,2009-08-13,2471.082,20.8,11.0,96,54,6.65,11.79
225,2009-08-14,2413.148,20.4,13.7,96,53,8.17,12.62
226,2009-08-15,2453.922,15.2,9.2,89,42,8.09,15.91
227,2009-08-16,2409.538,17.9,10.2,97,62,3.28,13.11
228,2009-08-17,2488.362,20.1,11.2,98,48,4.1,14.69
229,2009-08-18,2514.65,19.3,8.4,97,66,4.38,10.63
230,2009-08-19,2471.792,19.2,12.3,98,47,3.75,13.53
231,2009-08-20,2676.228,18.2,12.6,98,63,3.48,7.69
232,2009-08-21,2513.666,17.2,10.1,98,40,4.05,15.03
233,2009-08-22,2328.096,17.9,12.2,91,61,6.07,13.97
234,2009-08-23,2424.126,17.1,12.5,95,47,6.66,14.35
235,2009-08-24,2504.78,18.4,10.7,97,61,3.4,13.32
236,2009-08-25,2442.34,19.3,6.3,99,48,2.59,17.02
237,2009-08-26,2454.804,20.1,4.2,99,47,2.69,19.0
238,2009-08-27,2509.036,17.8,3.3,98,45,3.4,18.55
239,2009-08-28,2409.364,17.3,9.0,95,58,4.75,12.15
240,2009-08-29,2399.484,16.7,0.9,99,35,2.9,18.57
241,2009-08-30,2421.564,17.1,4.6,97,51,2.99,15.59
242,2009-08-31,2520.23,19.2,6.4,96,40,2.98,17.28
243,2009-09-01,2593.284,19.2,8.4,97,39,6.18,16.85
244,2009-09-02,2681.848,16.0,9.7,87,42,5.19,14.38
245,2009-09-03,2586.096,17.8,9.3,92,38,2.51,15.72
246,2009-09-04,2348.97,22.4,5.8,97,29,4.86,20.68
247,2009-09-05,2406.394,16.3,9.7,93,39,7.26,16.2
248,2009-09-06,2291.324,17.4,7.1,99,57,3.35,16.1
249,2009-09-07,2582.838,19.4,10.2,99,46,5.55,13.47
250,2009-09-08,2445.654,19.4,6.0,99,45,3.01,19.68
251,2009-09-09,2396.746,19.8,10.9,96,54,4.26,16.65
252,2009-09-10,2542.88,18.4,14.0,91,56,9.39,13.62
253,2009-09-11,2465.932,19.8,13.4,96,60,8.7,15.31
254,2009-09-12,2362.824,17.0,10.7,77,44,6.67,19.74
255,2009-09-13,2286.25,18.4,8.6,94,40,2.88,19.96
256,2009-09-14,2485.428,20.0,9.4,91,49,5.1,18.21
257,2009-09-15,2579.078,18.0,11.8,97,56,4.14,15.0
258,2009-09-16,2490.088,18.7,5.9,97,47,3.16,19.44
259,2009-09-17,2529.12,20.4,10.3,94,42,6.46,17.0
260,2009-09-18,2400.32,17.5,12.0,96,38,6.54,21.24
261,2009-09-19,2232.552,16.8,8.7,96,60,3.06,14.88
262,2009-09-20,2361.89,18.2,9.4,96,59,6.13,16.7
263,2009-09-21,2802.296,17.5,12.5,87,47,8.38,15.58
264,2009-09-22,2524.682,17.7,4.3,93,48,3.45,20.98
265,2009-09-23,2358.936,20.1,12.0,96,56,4.29,19.33
266,2009-09-24,2477.538,19.1,12.3,82,47,6.49,19.01
267,2009-09-25,2315.222,18.7,2.5,97,33,4.13,24.55
268,2009-09-26,2085.35,21.0,7.2,83,29,5.17,25.01
269,2009-09-27,1972.414,26.5,7.7,86,12,4.68,24.94
270,2009-09-28,2104.194,17.0,10.6,97,45,5.06,16.6
271,2009-09-29,2573.256,14.3,8.1,97,58,3.72,17.22
272,2009-09-30,2515.816,19.1,5.4,93,34,4.59,23.71
273,2009-10-01,2307.736,20.1,3.9,97,38,2.84,25.87
274,2009-10-02,2141.206,21.8,6.1,97,41,3.46,25.73
275,2009-10-03,2008.306,20.2,11.6,98,38,3.82,25.23
276,2009-10-04,2127.458,20.2,4.7,95,43,3.96,24.78
277,2009-10-05,2209.784,24.3,11.7,72,35,4.63,26.47
278,2009-10-06,2223.66,23.8,8.5,93,39,3.96,25.44
279,2009-10-07,2204.006,22.8,10.8,89,48,4.77,20.74
280,2009-10-08,2204.922,24.4,9.5,93,44,3.91,26.93
281,2009-10-09,2132.544,23.0,8.2,97,51,3.54,23.98
282,2009-10-10,2067.51,20.6,14.1,88,46,5.3,18.89
283,2009-10-11,2221.956,17.7,8.6,93,34,5.28,22.08
284,2009-10-12,2368.322,19.8,7.4,91,43,4.34,19.99
285,2009-10-13,2247.644,20.7,8.9,92,45,4.23,24.12
286,2009-10-14,2186.756,23.9,8.2,95,36,4.32,28.15
287,2009-10-15,2223.95,27.8,12.8,68,20,6.25,28.52
288,2009-10-16,2225.934,31.5,13.2,62,18,7.22,28.56
289,2009-10-17,2249.652,37.0,17.1,61,10,6.25,28.31
290,2009-10-18,2033.596,25.6,13.0,86,50,3.93,27.77
291,2009-10-19,2158.726,22.2,16.1,84,43,5.11,21.69
292,2009-10-20,2078.786,23.7,9.4,86,36,5.59,29.04
293,2009-10-21,2103.486,25.9,11.7,80,31,5.58,29.12
294,2009-10-22,2197.092,24.9,8.1,95,45,4.0,27.94
295,2009-10-23,2178.096,27.1,12.6,84,35,5.56,27.93
296,2009-10-24,1964.682,21.2,14.1,64,45,8.2,15.37
297,2009-10-25,2091.202,32.5,15.0,67,24,7.73,28.89
298,2009-10-26,2252.916,24.4,16.5,93,59,4.16,10.82
299,2009-10-27,2291.634,26.7,15.6,95,54,4.07,24.61
300,2009-10-28,2190.696,21.4,14.9,94,43,7.6,19.84
301,2009-10-29,2101.866,21.3,8.4,97,42,4.38,24.61
302,2009-10-30,2134.628,27.8,7.4,93,28,5.28,29.95
303,2009-10-31,1913.246,24.5,11.6,82,35,7.31,30.23
304,2009-11-01,1991.38,24.3,10.3,64,13,7.99,31.57
305,2009-11-02,2192.0,26.4,10.4,66,15,6.45,31.68
306,2009-11-03,2298.854,31.3,11.3,59,12,5.74,31.33
307,2009-11-04,2533.43,34.5,15.7,51,11,7.44,25.84
308,2009-11-05,2520.282,31.2,20.5,54,30,5.14,21.87
309,2009-11-06,2448.548,29.5,19.7,94,39,4.9,22.76
310,2009-11-07,2014.26,24.0,13.3,96,43,4.35,27.50
311,2009-11-08,2009.55,23.5,11.1,97,38,4.31,30.30
312,2009-11-09,2386.524,30.9,9.4,90,21,4.33,30.25
313,2009-11-10,2484.536,32.9,17.1,88,28,4.43,28.52
314,2009-11-11,2587.396,33.7,12.9,97,30,2.63,28.43
315,2009-11-12,2532.586,30.6,19.4,92,46,4.99, 
316,2009-11-13,2335.906,26.2,18.7,89,45,5.28,28.48
317,2009-11-14,1962.498,23.7,12.7,93,43,4.74,31.57
318,2009-11-15,2008.976,27.6,9.4,99,37,3.68,32.02
319,2009-11-16,2252.632,23.8,15.7,92,46,4.72, 
320,2009-11-17,2135.96,22.9,12.2,93,43,4.0, 
321,2009-11-18,2085.512,22.2,15.2,96,51,7.27, 
322,2009-11-19,2147.662,21.4,13.2,91,46,7.17, 
323,2009-11-20,2095.478,22.0,11.9,89,38,4.73, 
324,2009-11-21,1912.264,22.6,10.6,89,33,5.08, 
325,2009-11-22,2006.434,27.8,11.4,95,29,4.63, 
326,2009-11-23,2503.758,34.3,11.2,95,11,4.09, 
327,2009-11-24,2707.056,37.1,11.3,81,5,4.15, 
328,2009-11-25,2299.574,24.1,10.9,83,30,6.07, 
329,2009-11-26,2147.87,21.6,9.8,86,28,6.76, 
330,2009-11-27,2113.964,22.9,6.8,89,30,4.53, 
331,2009-11-28,2020.254,31.6,9.9,94,13,5.87,33.46
332,2009-11-29,2042.848,29.7,11.6,94,18,4.37,33.85
333,2009-11-30,2316.818,26.7,9.4,97,33,4.0,34.26
334,2009-12-01,2270.384,24.7,13.5,88,40,5.32,32.05
335,2009-12-02,2211.234,24.3,9.1,88,25,6.84,33.91
336,2009-12-03,2349.96,29.3,14.0,73,22,6.16,34.22
337,2009-12-04,2733.17,35.8,13.4,85,17,4.99,33.36
338,2009-12-05,2632.906,37.2,18.9,82,20,4.77,32.53
339,2009-12-06,2277.35,32.3,17.7,93,27,5.39,31.72
340,2009-12-07,2469.066,29.5,18.0,64,24,7.21,31.34
341,2009-12-08,2331.182,28.3,13.2,61,22,7.09,34.48
342,2009-12-09,2424.62,29.7,14.1,68,10,5.7,34.58
343,2009-12-10,2348.676,28.4,13.6,85,17,5.48,34.49
344,2009-12-11,2509.772,32.3,13.3,76,13,6.33,34.62
345,2009-12-12,2666.706,37.1,12.6,81,6,5.3,34.78
346,2009-12-13,2806.166,39.0,13.0,75,6,4.72,34.39
347,2009-12-14,2733.852,28.5,11.6,96,26,4.23,33.14
348,2009-12-15,2324.456,28.1,10.9,100,34,5.73,31.07
349,2009-12-16,2162.768,25.5,14.3,64,28,6.96,31.57
350,2009-12-17,2312.56,29.1,13.2,61,14,6.0,34.65
351,2009-12-18,2678.136,34.8,15.4,55,11,5.9,34.28
352,2009-12-19,2838.266,37.2,20.2,62,22,5.42,29.52
353,2009-12-20,2788.314,36.5,19.4,100,25,3.97,33.1
354,2009-12-21,3029.612,34.2,21.1,58,29,4.82,32.42
355,2009-12-22,2780.13,32.6,18.6,72,34,5.93,30.73
356,2009-12-23,2260.382,26.9,15.3,74,22,8.57,34.34
357,2009-12-24,2231.29,30.8,14.8,62,14,5.72,35.19
358,2009-12-25,2097.782,36.2,13.4,79,12,4.38,32.39
359,2009-12-26,2345.6,35.1,14.4,70,15,4.51,33.66
360,2009-12-27,2317.418,32.6,16.8,79,28,4.13,34.31
361,2009-12-28,2854.92,40.2,17.0,85,9,6.9,30.98
362,2009-12-29,2925.66,42.7,24.7,79,9,5.95,22.8
363,2009-12-30,2139.574,25.5,17.9,77,41,7.83,30.92
364,2009-12-31,2092.258,27.6,15.2,72,29,6.3,34.72
365,2010-01-01,1950.602,31.3,13.2,77,14,5.49,35.02
366,2010-01-02,2525.726,37.4,16.9,61,10,6.25,34.73
367,2010-01-03,2768.21,40.7,20.8,43,8,7.24,34.23
368,2010-01-04,3223.47,36.8,21.1,50,14,7.08,33.48
369,2010-01-05,3220.592,39.4,18.7,73,15,5.46,33.71
370,2010-01-06,3042.26,35.9,22.2,80,27,5.9,32.38
371,2010-01-07,2590.784,29.0,16.6,89,41,5.83,33.38
372,2010-01-08,2736.28,33.1,15.4,91,31,4.38,34.0
373,2010-01-09,2483.412,33.1,18.4,82,29,5.77,33.18
374,2010-01-10,1964.594,27.4,13.4,94,42,6.74,27.85
375,2010-01-11,2307.08,26.0,12.4,77,27,7.11,33.95
376,2010-01-12,2337.944,29.8,14.9,70,20,6.0,34.1
377,2010-01-13,2836.216,35.5,14.2,82,16,5.28,34.2
378,2010-01-14,3164.21,39.1,18.8,67,13,4.37,33.92
379,2010-01-15,2848.928,35.4,19.3,70,12,5.96,34.0
380,2010-01-16,2679.486,36.0,15.7,62,7,7.23,34.87
381,2010-01-17,3175.084,43.0,20.5,45,8,7.0,34.22
382,2010-01-18,3693.236,43.2,26.6,34,6,5.03,33.15
383,2010-01-19,3568.56,42.2,27.0,50,9,4.76,28.69
384,2010-01-20,2914.642,32.0,21.0,87,30,5.79,29.96
385,2010-01-21,2581.616,30.6,18.5,65,20,6.17,31.44
386,2010-01-22,2569.848,30.9,16.9,82,23,4.92,32.85
387,2010-01-23,2601.052,37.2,16.8,89,17,5.59,30.0
388,2010-01-24,2637.84,36.4,25.0,84,26,6.08,31.05
389,2010-01-25,2840.96,31.8,20.7,89,40,4.07,24.18
390,2010-01-26,2583.932,34.3,20.7,67,32,5.83,30.94
391,2010-01-27,3244.522,36.8,20.1,71,24,5.51,31.75
392,2010-01-28,3322.624,36.6,19.7,65,21,5.9,31.62
393,2010-01-29,3486.16,40.1,20.2,54,20,7.45,31.2
394,2010-01-30,2589.412,33.7,22.5,65,28,7.67,32.27
395,2010-01-31,2271.416,31.8,15.7,66,15,5.74,32.8
396,2010-02-01,2891.782,33.8,17.3,72,25,5.2,32.14
397,2010-02-02,2589.27,29.9,16.7,67,22,7.12,30.81
398,2010-02-03,2303.578,27.6,12.6,67,14,6.68,32.56
399,2010-02-04,2312.752,28.8,14.4,65,11,7.45,31.49
400,2010-02-05,2575.958,33.3,10.5,86,11,4.56,26.21
401,2010-02-06,2037.29,25.3,16.2,78,45,3.8,25.41
402,2010-02-07,2112.636,27.4,18.1,90,39,3.79,27.39
403,2010-02-08,2854.032,34.9,17.8,89,24,4.8,29.62
404,2010-02-09,3060.894,36.6,17.5,82,26,4.3,30.19
405,2010-02-10,2554.844,26.2,20.4,92,63,3.88,18.14
406,2010-02-11,2706.724,27.9,20.3,100,55,4.18,25.18
407,2010-02-12,2819.764,33.1,16.5,98,38,4.8,29.57
408,2010-02-13,2466.66,33.3,18.9,69,26,5.8,30.41
409,2010-02-14,2671.796,37.7,16.3,87,19,6.02,30.11
